@relation 'classificacao_imagem-weka.filters.unsupervised.attribute.Remove-R195-weka.filters.unsupervised.attribute.Remove-R207-weka.filters.unsupervised.attribute.Remove-R219-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.CfsSubsetEval -P 1 -E 1-Sweka.attributeSelection.BestFirst -D 1 -N 5'

@attribute CoefficientVariation numeric
@attribute MedianDeviation numeric
@attribute StandardDeviation numeric
@attribute direction_0 numeric
@attribute direction_1 numeric
@attribute direction_2 numeric
@attribute direction_6 numeric
@attribute direction_7 numeric
@attribute fourier3 numeric
@attribute fourier5 numeric
@attribute fourier7 numeric
@attribute fourier9 numeric
@attribute QCCH0 numeric
@attribute QCCH2 numeric
@attribute QCCH3 numeric
@attribute QCCH5 numeric
@attribute QCCH8 numeric
@attribute QCCH10 numeric
@attribute QCCH14 numeric
@attribute QCCH18 numeric
@attribute QCCH26 numeric
@attribute QCCH33 numeric
@attribute QCCH35 numeric
@attribute QCCH36 numeric
@attribute QCCH38 numeric
@attribute QCCH39 numeric
@attribute HARALICKCorrelation0 numeric
@attribute HARALICKInformationMesuresofCorrelation1-0 numeric
@attribute HARALICKInformationMesuresofCorrelation2-0 numeric
@attribute HARALICKSumVariance45 numeric
@attribute HARALICKDifferenceVariance45 numeric
@attribute HARALICKDifferenceEntropy45 numeric
@attribute HARALICKAngular2ndMoment135 numeric
@attribute HARALICKSumAverage135 numeric
@attribute HARALICKDifferenceVariance135 numeric
@attribute vetor_caracteristica_4 numeric
@attribute vetor_caracteristica_20 numeric
@attribute vetor_caracteristica_21 numeric
@attribute vetor_caracteristica_25 numeric
@attribute vetor_caracteristica_36 numeric
@attribute vetor_caracteristica_40 numeric
@attribute vetor_caracteristica_41 numeric
@attribute vetor_caracteristica_42 numeric
@attribute vetor_caracteristica_46 numeric
@attribute vetor_caracteristica_47 numeric
@attribute vetor_caracteristica_59 numeric
@attribute vetor_caracteristica_62 numeric
@attribute vetor_caracteristica_63 numeric
@attribute vetor_caracteristica_68 numeric
@attribute vetor_caracteristica_80 numeric
@attribute vetor_caracteristica_84 numeric
@attribute vetor_caracteristica_85 numeric
@attribute vetor_caracteristica_105 numeric
@attribute vetor_caracteristica_106 numeric
@attribute vetor_caracteristica_126 numeric
@attribute vetor_caracteristica_127 numeric
@attribute histogram_acc0 numeric
@attribute histogram_acc16 numeric
@attribute histogram_acc21 numeric
@attribute histogram_acc24 numeric
@attribute histogram_acc36 numeric
@attribute histogram_acc37 numeric
@attribute histogram_acc43 numeric
@attribute histogram_acc63 numeric
@attribute classes {Acer-campestre,Acer-monspessulanum,Acer-negundo,Albizia-julibrissin,Alnus-cordata,Arbutus-unedo,Betula-pendula,Broussonetia-papyrifera,Buddleja-davidii,Buxus-sempervirens,Carpinus-betulus,Castanea-sativa,Celtis-australis,Cerasus-mahaleb,Corylus-avellana,Cotinus-coggygria,Crataegus-azarolus,Crataegus-monogyna,Daphne-cneorum,Diospyros-kaki,Euphorbia-characias,Ficus-carica,Fraxinus-angustifolia,Ginkgo-biloba,Hedera-helix,Ilex-aquifolium,Juniperus-oxycedrus,Laurus-nobilis,Nerium-oleander,Olea-europaea,Paliurus-spina-christi,Pistacia-lentiscus,Pistacia-terebinthus,Pittosporum-tenuifolium,Pittosporum-tobira,Platanus-x,Populus-alba,Populus-nigra,Populus-tremula,Prunus-laurocerasus,Punica-granatum,Quercus-coccifera,Quercus-ilex,Quercus-petraea,Quercus-pubescens,Rhamnus-alaternus,Rhus-coriaria,Robinia-pseudoacacia,Ruscus-aculeatus,Syringa-vulgaris,Ulmus-minor,Viburnum-tinus,Vitex-agnus-castus}

@data
0.591967,0.24245,0.277748,1414,466,1,0,460,0.163961,0.101717,0.00571,0.000002,226107,39905,33229,17670,5809,3366,1505,1351,734,447,409,778,747,995,0.000107,-0.57058,0.980685,109954,73.9033,1.67082,0.011813,790.246,108.42,10347,2063,1114,422,88,0,673,1657,512,41,3,839,5194,6414,864,220,24,3,433,5,308032,110956,1723,1138,0,88,245,20,313226,Acer-campestre
1.18228,0.304038,0.323043,1063,419,0,2,407,0.080508,0.004312,0.060204,0.010284,138199,24873,21111,10148,3274,1824,742,716,447,312,313,667,880,1886,0.000174,-0.509138,0.887799,104543,104.173,1.05341,0.034781,903.228,144.817,10821,7580,746,133,203,128,945,555,103,0,0,504,4181,22966,0,3897,3,36,0,0,209695,5668,16,749,47,203,453,0,213876,Acer-campestre
0.672464,0.248604,0.284189,1393,443,0,1,433,0.191469,0.161567,0.011578,0.007727,266071,25170,22921,13901,5373,3347,1398,1097,672,401,361,724,635,1763,0.000126,-0.535421,0.92193,112789,94.6776,1.16325,0.030268,869.571,133.701,2600,1444,1078,252,0,6,372,1456,297,35,1,512,5034,150,392,447,1,0,100,0,333199,80588,1052,1079,10,0,82,14,338233,Acer-campestre
0.647813,0.244688,0.28598,1138,546,0,2,534,0.073925,0.016327,0.094599,0.003733,132079,31716,24931,11129,3715,2134,961,850,546,370,333,665,672,3053,0.000139,-0.536804,0.925201,106729,129.099,1.18804,0.029966,861.007,185.356,11698,3968,988,104,488,2,517,755,99,0,0,461,4575,8474,0,1242,10,0,0,0,215128,41765,18,998,0,554,701,0,219703,Acer-campestre
0.626428,0.250498,0.287782,1312,466,0,0,458,0.155472,0.067801,0.041502,0.016913,186680,43954,31625,15821,5274,3081,1345,1106,719,374,397,1012,696,711,0.00012,-0.593324,0.987288,108288,72.4684,1.61504,0.006264,824.368,103.947,9986,2250,1217,492,29,0,587,1680,671,84,2,766,4942,9784,715,272,31,3,552,3,303586,82776,1586,1248,3,29,135,27,308528,Acer-campestre
0.40919,0.187393,0.229561,1430,719,0,0,711,0.129411,0.283405,0.019901,0.034619,309001,29455,29231,19782,8000,4636,1984,1531,876,413,353,662,605,2854,0.000107,-0.527885,0.967667,109355,131.752,1.72644,0.015754,789.598,189.245,23161,1795,1082,444,6,0,307,1620,676,104,0,370,5874,13836,609,224,7,0,198,0,351216,115991,1291,1089,3,6,84,17,357090,Acer-campestre
0.565952,0.223441,0.261853,1199,586,2,4,574,0.24628,0.109859,0.060645,0.006482,223978,37273,30468,14705,5208,3130,1501,1098,686,370,341,645,571,2967,0.000115,-0.590823,0.979273,109519,129.42,1.46552,0.013384,817.978,185.533,12542,1028,834,304,1,0,243,1241,480,49,2,351,5150,11359,639,105,0,1,148,2,301839,86755,1394,834,1,1,71,11,306989,Acer-campestre
0.492306,0.2023,0.241858,919,714,3,3,706,0.273452,0.163961,0.081834,0.032586,196963,29142,28731,17421,6684,3817,1622,1442,892,602,464,761,545,665,0.00017,-0.539816,0.943201,100555,67.3266,1.34878,0.028117,871.28,96.8724,15117,17443,1100,888,274,310,1540,773,337,0,2,1103,5022,19931,0,39384,106,151,3,9,279801,1818,0,1206,616,286,710,0,284823,Acer-campestre
0.475046,0.218351,0.260006,1329,537,0,0,529,0.191698,0.195753,0.017029,0.046335,234891,24065,27095,22307,10405,5707,2174,1638,911,560,490,887,588,290,0.000129,-0.48616,0.939233,104584,59.5034,1.64493,0.024641,820.937,89.63,34830,12166,1653,379,424,299,1782,1470,409,0,0,1283,5126,25400,0,5320,26,387,86,26,304128,47147,0,1679,108,519,443,0,309254,Acer-campestre
0.730449,0.25754,0.29139,1468,491,1,1,483,0.147611,0.14193,0.034108,0.009642,209219,31289,28077,14751,5019,3001,1406,1090,728,361,321,611,703,3711,0.000125,-0.495146,0.909079,109843,163.224,1.26248,0.030114,849.835,227.049,14507,1082,763,226,16,10,223,738,241,23,3,216,5075,11222,681,183,0,8,1,0,287583,64167,1513,763,7,16,95,14,292658,Acer-campestre
0.644091,0.178212,0.214047,1216,598,1,0,592,0.007284,0.137476,0.035775,0.03867,261154,29161,29047,17602,6011,3165,1306,1017,707,426,401,766,943,1104,0.000128,-0.506635,0.934293,106399,69.0437,1.42728,0.026411,832.583,109.991,17327,4815,1080,394,118,0,732,1310,254,20,2,605,5182,75686,297,1823,12,0,281,0,314914,18606,1149,1092,40,119,325,13,320096,Acer-campestre
0.805302,0.307281,0.3432,1207,469,1,2,459,0.17435,0.036162,0.067501,0.006882,201917,23881,23847,15056,5480,2846,1000,866,458,344,338,812,851,2042,0.000163,-0.509882,0.896337,105820,106.303,1.10174,0.033695,896.419,145.531,6309,2711,775,250,148,51,504,740,223,18,0,353,4662,55350,1,1022,4,0,0,0,279830,5058,135,779,17,148,163,15,284492,Acer-campestre
0.398953,0.188849,0.237156,206,74,2,0,70,0.052262,0.052574,0.039399,0.078391,176095,24003,28077,23982,11515,6134,2092,1253,788,438,407,767,703,875,0.000138,-0.531411,0.947907,103527,64.8097,1.4828,0.024921,834.452,98.0872,31291,20084,1966,379,0,121,1320,1051,397,0,0,907,4858,24578,0,14008,231,688,23,0,271531,16622,0,2197,303,0,11,0,276389,Acer-campestre
0.657728,0.248512,0.28537,1410,461,0,1,451,0.149899,0.099142,0.030103,0.021551,173557,39321,29763,13465,4888,3053,1430,1082,656,336,324,656,663,3267,0.000115,-0.551643,0.959065,110258,161.301,1.38361,0.020449,824.571,221.901,10186,920,822,206,0,8,191,1002,333,35,3,236,4906,6620,434,116,0,7,53,0,265998,78164,1268,822,0,0,45,17,270904,Acer-campestre
0.673981,0.254443,0.29559,1463,462,4,3,456,0.166746,0.130529,0.047393,0.048961,355633,14264,14595,10393,4497,2557,1136,1000,753,522,370,667,83,23,0.000346,-0.545083,0.87974,95771.1,51.2733,0.820472,0.039703,954.327,71.9115,355,10239,1293,3426,51,1101,2098,665,222,0,0,1095,5247,124,0,36134,457,199,5,2,384001,103,1,1750,13839,51,1617,0,389248,Acer-campestre
0.640215,0.24757,0.285538,1471,457,1,1,449,0.248373,0.130828,0.029451,0.003173,185827,42179,27126,12567,4324,2646,1196,969,784,535,458,867,793,1018,0.000157,-0.602325,0.991652,103279,80.9836,1.61609,0.001867,869.546,113.284,12997,3212,1196,503,20,0,727,1817,624,66,8,867,5066,38152,924,525,48,4,502,41,318356,26600,1920,1244,6,21,111,42,323422,Acer-campestre
0.674384,0.213634,0.248761,1192,600,3,1,596,0.206144,0.101192,0.006156,0.004885,204058,25857,27147,21780,9000,4933,1674,1131,770,473,493,989,543,528,0.000161,-0.603824,0.990229,99360.6,85.1611,1.69832,0.005981,850.454,117.201,11566,12594,550,485,74,26,953,1023,490,12,6,918,5059,63108,219,14752,0,5,64,2,290709,1632,858,550,2870,74,114,9,295768,Acer-campestre
0.578821,0.184605,0.220103,1213,746,1,2,736,0.323238,0.214453,0.074082,0.007838,275753,33557,30251,17291,5838,3240,1353,1235,1051,393,350,810,657,906,0.000126,-0.561517,0.972384,106962,80.4581,1.54906,0.016523,830.848,113.824,17451,4710,1249,633,86,1,769,1830,696,80,3,896,5656,51746,211,1677,3,3,185,10,342661,49212,917,1252,29,86,173,17,348317,Acer-campestre
0.534221,0.196178,0.24074,1414,532,3,0,530,0.138379,0.240147,0.003748,0.031658,332386,26600,23690,13178,4546,2654,1227,1022,756,328,329,502,570,2674,0.000128,-0.591962,0.971692,109272,120.059,1.3305,0.015287,853.52,168.539,16875,1463,963,342,50,9,261,1304,388,44,4,315,5393,12648,566,181,8,0,185,0,370368,81370,1303,971,1,50,48,6,375761,Acer-campestre
0.903644,0.3139,0.336695,1297,457,0,2,445,0.127722,0.034154,0.098347,0.010415,132265,35918,28709,12954,3747,2266,855,948,570,379,389,860,863,1692,0.000149,-0.590139,0.981878,102619,102.387,1.51024,0.008672,852.042,143.68,18784,14284,1795,122,134,0,804,1015,126,0,1,486,4600,25471,0,10833,90,18,4,0,223768,6723,4,1885,0,135,1230,0,228368,Acer-campestre
0.532637,0.208058,0.242892,1040,519,1,0,513,0.148236,0.138316,0.003353,0.000941,221051,33407,28618,15491,5223,2935,1272,1004,574,309,278,620,530,2347,0.00013,-0.62505,0.986312,107787,109.337,1.4076,0.010049,848.032,153.664,13569,1767,911,307,0,0,261,1244,443,57,1,313,4826,22538,4,1059,2,3,222,0,305768,57658,143,913,1,0,41,10,310594,Acer-campestre
0.43811,0.206404,0.239938,1366,685,1,2,675,0.16065,0.270325,0.067485,0.010903,281083,38423,33069,18210,5890,3192,1296,1028,706,494,508,876,688,1119,0.000118,-0.578337,0.986095,105934,79.7601,1.70487,0.007581,799.531,118.005,25571,4180,1222,620,8,0,663,1604,633,42,4,863,5663,50830,346,1819,55,2,304,4,339510,63467,1041,1277,75,8,88,30,345173,Acer-campestre
0.446536,0.205232,0.251061,1583,682,1,1,674,0.130708,0.180682,0.018923,0.025972,337061,30071,31526,23698,10417,5394,1824,1297,1261,647,491,578,5,0,0.000146,-0.536565,0.977172,98159.9,41.343,1.84097,0.009482,813.294,64.6178,31674,40215,3001,1196,134,90,2283,2422,853,1,0,1750,6171,21134,0,84698,217,898,137,2,372058,895,0,3218,45,142,382,0,378229,Acer-campestre
0.702023,0.298967,0.324848,1318,446,0,0,438,0.202792,0.014745,0.058368,0.072187,197026,25301,23796,13472,5155,2844,1263,1082,676,406,331,756,636,2851,0.000148,-0.512281,0.902643,108186,137.802,1.1245,0.032973,887.979,190.08,13985,1650,739,297,9,153,534,842,296,39,0,294,4739,20034,0,787,0,13,8,0,276536,33235,1,739,130,9,18,20,281275,Acer-campestre
0.52805,0.196263,0.235918,1302,570,1,1,562,0.121837,0.256026,0.070782,0.04846,156990,55267,35354,17813,6705,3863,1613,1144,941,433,421,753,572,436,0.000129,-0.559893,0.991466,103087,60.4167,1.9534,0.0012,812.006,92.7742,20638,3752,1497,720,3,0,937,2261,877,91,3,1456,5288,34851,322,718,220,27,1251,114,324121,58488,878,1717,2,3,68,20,329409,Acer-campestre
0.830092,0.334519,0.360936,1330,417,0,2,405,0.125793,0.021296,0.06399,0.000494,142085,31456,30625,18203,5752,3000,1234,1023,783,484,460,846,736,460,0.000146,-0.509447,0.932981,103782,76.9754,1.41763,0.02767,854.106,109.384,17359,10966,1034,293,511,49,1084,891,242,0,0,879,4628,36875,0,9948,10,16,4,2,238340,7898,24,1044,44,540,679,0,242968,Acer-campestre
0.638017,0.232776,0.269774,1273,543,2,2,535,0.136511,0.139873,0.040894,0.003598,332698,23106,22308,13428,5046,2937,1246,969,799,599,421,861,671,444,0.000143,-0.547394,0.931997,107962,62.7258,1.17992,0.029131,875.497,88.1015,20010,2968,1402,459,90,0,651,1889,523,57,5,635,5199,19167,1004,274,29,5,398,1,371315,56359,2022,1431,2,91,264,47,376514,Acer-campestre
0.468999,0.182839,0.230526,1303,530,1,1,522,0.191234,0.156945,0.051533,0.023799,230005,39437,32133,14660,5089,3028,1312,1065,625,373,323,719,783,2814,0.000121,-0.524755,0.944562,107349,128.173,1.39606,0.024009,819.552,179.719,17713,2130,911,294,36,1,319,889,318,46,3,271,5099,65113,232,379,0,0,22,0,300485,35372,851,911,1,36,60,14,305584,Acer-campestre
0.600993,0.282222,0.309906,1395,394,3,0,392,0.155961,0.008541,0.08316,0.0048,182299,39005,29651,13787,4624,2833,1366,1062,768,427,424,954,576,1087,0.00013,-0.595194,0.984195,108513,80.6335,1.49731,0.005989,852.496,112.202,8245,1318,1238,420,62,0,494,1685,515,72,12,608,4827,6487,1068,67,8,4,502,3,296857,69378,2017,1246,0,62,201,28,301684,Acer-campestre
0.472039,0.19416,0.236692,1170,608,0,0,600,0.113004,0.240756,0.016482,0.006679,375430,28151,27106,16359,5838,3234,1232,1163,890,383,398,712,429,101,0.000134,-0.51176,0.926054,105488,42.0767,1.32529,0.028691,840.274,63.9727,36143,11316,1904,407,248,271,1595,1578,432,0,0,1406,5397,29529,0,5773,59,244,80,9,392546,60684,1,1963,123,295,420,0,397943,Acer-campestre
0.788681,0.282509,0.310022,1208,426,0,1,416,0.148147,0.03078,0.054646,0.047098,190126,30999,28750,16633,5301,2791,1262,1057,725,441,424,872,710,1732,0.000124,-0.527838,0.935187,110363,95.2683,1.3161,0.025513,849.828,131.661,7476,1643,1066,231,114,0,353,1203,261,22,1,365,4665,2143,469,178,4,0,54,0,276798,73788,1273,1070,0,114,225,12,281463,Acer-campestre
0.475078,0.216983,0.249116,1339,567,1,0,561,0.184775,0.243585,0.020879,0.025581,316471,23475,22409,14114,5545,3278,1496,1159,740,374,375,638,482,2602,0.000123,-0.543123,0.947077,110895,120.851,1.33769,0.023792,850.805,173.212,12361,1607,944,360,49,1,332,1251,394,82,7,371,5348,6887,288,275,2,0,34,1,356775,87658,989,946,2,49,103,36,362123,Acer-campestre
0.482392,0.204706,0.249996,1510,647,1,1,639,0.235977,0.204481,0.03951,0.007401,275808,30539,29988,19006,6985,3580,1341,1010,842,563,523,873,674,1197,0.000135,-0.522988,0.93879,103155,74.5079,1.41914,0.026317,827.113,110.608,34836,26886,2414,368,25,200,1414,1493,311,0,0,903,5616,23302,0,31037,128,209,1,0,323912,18680,0,2542,115,25,78,0,329528,Acer-campestre
0.491367,0.199314,0.234658,1351,555,3,0,553,0.118203,0.185874,0.113472,0.015042,307224,39279,35599,18890,5929,3096,1191,970,748,411,403,812,685,1388,0.000117,-0.530148,0.963102,104361,75.898,1.60739,0.016761,786.07,111.106,39972,13305,1992,169,282,0,557,1361,180,2,1,559,5428,23653,6,4980,36,2,30,0,341333,88208,51,2028,0,326,920,1,346761,Acer-campestre
0.895224,0.345326,0.360116,1238,354,1,1,346,0.174707,0.050969,0.067391,0.003325,250732,9968,12684,15327,11095,7178,2785,1787,997,350,278,600,561,589,0.000161,-0.488527,0.896874,105932,59.8104,1.25383,0.034213,893.69,89.6186,21169,4359,1266,408,314,276,995,1242,255,51,6,534,4614,33492,3,1209,19,150,111,0,316822,18203,23,1285,73,425,755,10,321436,Acer-monspessulanum
0.638534,0.224876,0.266179,1073,613,0,1,603,0.143141,0.160777,0.030931,0.008395,406892,10909,13028,15000,10480,7007,2643,1600,691,332,275,527,549,962,0.000138,-0.502137,0.917156,108821,56.233,1.31077,0.032016,871.312,89.2378,21115,3844,1356,282,520,65,640,1905,308,57,20,542,5354,12344,493,1026,171,42,755,3,430098,77205,1196,1527,10,760,916,46,435452,Acer-monspessulanum
