@relation 'classificacao_imagem-weka.filters.unsupervised.attribute.Remove-R56,69,82-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.CfsSubsetEval -P 1 -E 1-Sweka.attributeSelection.BestFirst -D 1 -N 5'

@attribute QCCH0 numeric
@attribute QCCH2 numeric
@attribute QCCH3 numeric
@attribute QCCH4 numeric
@attribute QCCH7 numeric
@attribute QCCH10 numeric
@attribute QCCH14 numeric
@attribute QCCH18 numeric
@attribute QCCH26 numeric
@attribute QCCH31 numeric
@attribute QCCH33 numeric
@attribute QCCH35 numeric
@attribute QCCH36 numeric
@attribute QCCH37 numeric
@attribute QCCH38 numeric
@attribute QCCH39 numeric
@attribute HARALICKAngular2ndMoment0 numeric
@attribute HARALICKInverseDiff.Moment0 numeric
@attribute HARALICKSumAverage0 numeric
@attribute HARALICKInformationMesuresofCorrelation10 numeric
@attribute HARALICKInformationMesuresofCorrelation20 numeric
@attribute HARALICKSumVariance45 numeric
@attribute HARALICKContrast135 numeric
@attribute HARALICKSumVariance135 numeric
@attribute HARALICKDifferenceVariance135 numeric
@attribute vetor_caracteristica_4 numeric
@attribute vetor_caracteristica_20 numeric
@attribute vetor_caracteristica_21 numeric
@attribute vetor_caracteristica_25 numeric
@attribute vetor_caracteristica_36 numeric
@attribute vetor_caracteristica_37 numeric
@attribute vetor_caracteristica_40 numeric
@attribute vetor_caracteristica_41 numeric
@attribute vetor_caracteristica_42 numeric
@attribute vetor_caracteristica_45 numeric
@attribute vetor_caracteristica_58 numeric
@attribute vetor_caracteristica_59 numeric
@attribute vetor_caracteristica_62 numeric
@attribute vetor_caracteristica_63 numeric
@attribute vetor_caracteristica_68 numeric
@attribute vetor_caracteristica_80 numeric
@attribute vetor_caracteristica_84 numeric
@attribute vetor_caracteristica_85 numeric
@attribute vetor_caracteristica_104 numeric
@attribute vetor_caracteristica_105 numeric
@attribute vetor_caracteristica_106 numeric
@attribute vetor_caracteristica_126 numeric
@attribute vetor_caracteristica_127 numeric
@attribute histogram_acc0 numeric
@attribute histogram_acc16 numeric
@attribute histogram_acc26 numeric
@attribute histogram_acc43 numeric
@attribute histogram_acc46 numeric
@attribute histogram_acc63 numeric
@attribute classes {Acer-campestre,Acer-monspessulanum,Acer-negundo,Albizia-julibrissin,Alnus-cordata,Arbutus-unedo,Betula-pendula,Broussonetia-papyrifera,Buddleja-davidii,Buxus-sempervirens,Carpinus-betulus,Castanea-sativa,Celtis-australis,Cerasus-mahaleb,Corylus-avellana,Cotinus-coggygria,Crataegus-azarolus,Crataegus-monogyna,Daphne-cneorum,Diospyros-kaki,Euphorbia-characias,Ficus-carica,Fraxinus-angustifolia,Ginkgo-biloba,Hedera-helix,Ilex-aquifolium,Juniperus-oxycedrus,Laurus-nobilis,Nerium-oleander,Olea-europaea,Paliurus-spina-christi,Pistacia-lentiscus,Pistacia-terebinthus,Pittosporum-tenuifolium,Pittosporum-tobira,Platanus-x,Populus-alba,Populus-nigra,Populus-tremula,Prunus-laurocerasus,Punica-granatum,Quercus-coccifera,Quercus-ilex,Quercus-petraea,Quercus-pubescens,Rhamnus-alaternus,Rhus-coriaria,Robinia-pseudoacacia,Ruscus-aculeatus,Syringa-vulgaris,Ulmus-minor,Viburnum-tinus,Vitex-agnus-castus}

@data
226107,39905,33229,24925,8384,3366,1505,1351,734,402,447,409,778,753,747,995,0.193999,0.731477,379.41,-0.57058,0.980685,109954,107.027,429552,108.42,10347,2063,1114,422,88,245,0,673,1657,1,103,3,839,5194,6414,864,220,24,0,3,433,5,308032,110956,1723,26,20,515,313226,Acer-campestre
138199,24873,21111,15119,4761,1824,742,716,447,296,312,313,667,634,880,1886,0.560904,0.827691,433.574,-0.509138,0.887799,104543,143.795,506998,144.817,10821,7580,746,133,203,449,128,945,555,5,111,0,504,4181,22966,0,3897,3,0,36,0,0,209695,5668,16,0,0,103,213876,Acer-campestre
266071,25170,22921,18196,7074,3347,1398,1097,672,409,401,361,724,794,635,1763,0.490032,0.815606,417.473,-0.535421,0.92193,112789,132.605,491867,133.701,2600,1444,1078,252,0,82,6,372,1456,0,47,1,512,5034,150,392,447,1,0,0,100,0,333199,80588,1052,15,14,297,338233,Acer-campestre
132079,31716,24931,17200,5134,2134,961,850,546,419,370,333,665,748,672,3053,0.484214,0.81652,413.322,-0.536804,0.925201,106729,184.038,476975,185.356,11698,3968,988,104,488,656,2,517,755,0,136,0,461,4575,8474,0,1242,10,0,0,0,0,215128,41765,18,0,0,99,219703,Acer-campestre
186680,43954,31625,23041,7422,3081,1345,1106,719,424,374,397,1012,862,696,711,0.107496,0.739471,395.777,-0.593324,0.987288,108288,102.739,451676,103.947,9986,2250,1217,492,29,135,0,587,1680,0,76,2,766,4942,9784,715,272,31,0,3,552,3,303586,82776,1586,23,27,675,308528,Acer-campestre
309001,29455,29231,25496,10852,4636,1984,1531,876,494,413,353,662,670,605,2854,0.255656,0.728037,379.111,-0.527885,0.967667,109355,187.177,428249,189.245,23161,1795,1082,444,6,84,0,307,1620,0,44,0,370,5874,13836,609,224,7,0,0,198,0,351216,115991,1291,32,17,676,357090,Acer-campestre
223978,37273,30468,21209,7078,3130,1501,1098,686,401,370,341,645,701,571,2967,0.217776,0.767834,392.713,-0.590823,0.979273,109519,184.082,448730,185.533,12542,1028,834,304,1,71,0,243,1241,0,45,2,351,5150,11359,639,105,0,0,1,148,2,301839,86755,1394,15,11,482,306989,Acer-campestre
196963,29142,28731,23303,8860,3817,1622,1442,892,568,602,464,761,711,545,665,0.45428,0.784861,418.284,-0.539816,0.943201,100555,95.7753,476215,96.8724,15117,17443,1100,888,274,586,310,1540,773,5,334,2,1103,5022,19931,0,39384,106,48,151,3,9,279801,1818,0,0,0,337,284823,Acer-campestre
234891,24065,27095,25970,13395,5707,2174,1638,911,531,560,490,887,774,588,290,0.397753,0.732811,394.137,-0.48616,0.939233,104584,88.1364,444017,89.63,34830,12166,1653,379,424,425,299,1782,1470,17,155,0,1283,5126,25400,0,5320,26,31,387,86,26,304128,47147,0,0,0,409,309254,Acer-campestre
209219,31289,28077,20932,7110,3001,1406,1090,728,386,361,321,611,632,703,3711,0.486146,0.79947,407.992,-0.495146,0.909079,109843,225.537,472758,227.049,14507,1082,763,226,16,95,10,223,738,0,51,3,216,5075,11222,681,183,0,0,8,1,0,287583,64167,1513,16,14,241,292658,Acer-campestre
261154,29161,29047,23857,8521,3165,1306,1017,707,476,426,401,766,897,943,1104,0.428878,0.767365,399.726,-0.506635,0.934293,106399,108.772,455065,109.991,17327,4815,1080,394,118,324,0,732,1310,2,101,2,605,5182,75686,297,1823,12,0,0,281,0,314914,18606,1149,5,13,254,320096,Acer-campestre
201917,23881,23847,20452,7633,2846,1000,866,458,377,344,338,812,910,851,2042,0.545087,0.82004,430.34,-0.509882,0.896337,105820,144.478,503253,145.531,6309,2711,775,250,148,162,51,504,740,0,40,0,353,4662,55350,1,1022,4,0,0,0,0,279830,5058,135,10,15,223,284492,Acer-campestre
176095,24003,28077,27583,14816,6134,2092,1253,788,458,438,407,767,692,703,875,0.403053,0.761779,400.611,-0.531411,0.947907,103527,96.7827,452490,98.0872,31291,20084,1966,379,0,11,121,1320,1051,13,12,0,907,4858,24578,0,14008,231,4,688,23,0,271531,16622,0,1,0,397,276389,Acer-campestre
173557,39321,29763,20235,6345,3053,1430,1082,656,386,336,324,656,605,663,3267,0.33085,0.782187,395.864,-0.551643,0.959065,110258,220.356,454594,221.901,10186,920,822,206,0,45,8,191,1002,0,35,3,236,4906,6620,434,116,0,0,7,53,0,265998,78164,1268,13,17,333,270904,Acer-campestre
355633,14264,14595,12518,6064,2557,1136,1000,753,535,522,370,667,372,83,23,0.6383,0.856334,458.151,-0.545083,0.87974,95771.1,71.3533,536735,71.9115,355,10239,1293,3426,51,901,1101,2098,665,114,333,0,1095,5247,124,0,36134,457,1051,199,5,2,384001,103,1,0,0,222,389248,Acer-campestre
185827,42179,27126,18636,5921,2646,1196,969,784,554,535,458,867,857,793,1018,0.038699,0.737267,417.456,-0.602325,0.991652,103279,112.065,478648,113.284,12997,3212,1196,503,20,111,0,727,1817,1,82,8,867,5066,38152,924,525,48,0,4,502,41,318356,26600,1920,31,42,633,323422,Acer-campestre
204058,25857,27147,25646,12616,4933,1674,1131,770,554,473,493,989,755,543,528,0.099922,0.727021,408.292,-0.603824,0.990229,99360.6,115.754,458656,117.201,11566,12594,550,485,74,114,26,953,1023,35,71,6,918,5059,63108,219,14752,0,0,5,64,2,290709,1632,858,5,9,491,295768,Acer-campestre
275753,33557,30251,23473,8245,3240,1353,1235,1051,511,393,350,810,729,657,906,0.270364,0.753585,398.9,-0.561517,0.972384,106962,112.521,454566,113.824,17451,4710,1249,633,86,173,1,769,1830,2,67,3,896,5656,51746,211,1677,3,0,3,185,10,342661,49212,917,25,17,698,348317,Acer-campestre
332386,26600,23690,18303,6598,2654,1227,1022,756,349,328,329,502,518,570,2674,0.249478,0.789483,409.782,-0.591962,0.971692,109272,167.284,474696,168.539,16875,1463,963,342,50,48,9,261,1304,1,48,4,315,5393,12648,566,181,8,0,0,185,0,370368,81370,1303,14,6,388,375761,Acer-campestre
132265,35918,28709,19596,5781,2266,855,948,570,403,379,389,860,964,863,1692,0.142863,0.757771,409.026,-0.590139,0.981878,102619,142.349,464444,143.68,18784,14284,1795,122,134,989,0,804,1015,0,107,1,486,4600,25471,0,10833,90,0,18,4,0,223768,6723,4,0,0,126,228368,Acer-campestre
221051,33407,28618,21613,7518,2935,1272,1004,574,368,309,278,620,461,530,2347,0.164597,0.775728,407.132,-0.62505,0.986312,107787,152.464,468529,153.664,13569,1767,911,307,0,41,0,261,1244,0,28,1,313,4826,22538,4,1059,2,0,3,222,0,305768,57658,143,22,10,443,310594,Acer-campestre
281083,38423,33069,25741,8217,3192,1296,1028,706,549,494,508,876,931,688,1119,0.125758,0.723729,383.872,-0.578337,0.986095,105934,116.577,430496,118.005,25571,4180,1222,620,8,88,0,663,1604,1,52,4,863,5663,50830,346,1819,55,0,2,304,4,339510,63467,1041,22,30,638,345173,Acer-campestre
337061,30071,31526,28510,13854,5394,1824,1297,1261,727,647,491,578,77,5,0,0.157803,0.691728,390.488,-0.536565,0.977172,98159.9,63.2377,429516,64.6178,31674,40215,3001,1196,134,346,90,2283,2422,0,116,0,1750,6171,21134,0,84698,217,2,898,137,2,372058,895,0,0,0,853,378229,Acer-campestre
197026,25301,23796,18734,6817,2844,1263,1082,676,458,406,331,756,706,636,2851,0.532196,0.820861,426.288,-0.512281,0.902643,108186,188.807,499866,190.08,13985,1650,739,297,9,18,153,534,842,0,10,0,294,4739,20034,0,787,0,1,13,8,0,276536,33235,1,17,20,296,281275,Acer-campestre
156990,55267,35354,25089,9239,3863,1613,1144,941,487,433,421,753,715,572,436,0.029243,0.669961,389.852,-0.559893,0.991466,103087,91.1803,435464,92.7742,20638,3752,1497,720,3,68,0,937,2261,0,57,3,1456,5288,34851,322,718,220,0,27,1251,114,324121,58488,878,26,20,899,329409,Acer-campestre
142085,31456,30625,24941,8837,3000,1234,1023,783,515,484,460,846,871,736,460,0.446746,0.769682,410.026,-0.509447,0.932981,103782,108.164,467601,109.384,17359,10966,1034,293,511,673,49,1084,891,0,194,0,879,4628,36875,0,9948,10,0,16,4,2,238340,7898,24,0,0,242,242968,Acer-campestre
332698,23106,22308,18076,7014,2937,1246,969,799,550,599,421,861,694,671,444,0.472056,0.811203,420.326,-0.547394,0.931997,107962,87.2162,489723,88.1015,20010,2968,1402,459,90,264,0,651,1889,1,117,5,635,5199,19167,1004,274,29,0,5,398,1,371315,56359,2022,37,47,523,376514,Acer-campestre
230005,39437,32133,22808,6984,3028,1312,1065,625,357,373,323,719,624,783,2814,0.387928,0.776269,393.47,-0.524755,0.944562,107349,178.33,446860,179.719,17713,2130,911,294,36,60,1,319,889,0,28,3,271,5099,65113,232,379,0,0,0,22,0,300485,35372,851,19,14,318,305584,Acer-campestre
182299,39005,29651,20653,6600,2833,1366,1062,768,449,427,424,954,761,576,1087,0.106028,0.762528,409.269,-0.595194,0.984195,108513,111.069,472913,112.202,8245,1318,1238,420,62,201,0,494,1685,0,103,12,608,4827,6487,1068,67,8,0,4,502,3,296857,69378,2017,21,28,515,301684,Acer-campestre
