% Title: Parkinsons Disease Data Set
% 
% Abstract: Oxford Parkinson's Disease Detection Dataset
% 
% -----------------------------------------------------	
% 
% Data Set Characteristics: Multivariate
% Number of Instances: 197
% Area: Life
% Attribute Characteristics: Real
% Number of Attributes: 23
% Date Donated: 2008-06-26
% Associated Tasks: Classification
% Missing Values? N/A
% 
% -----------------------------------------------------	
% 
% Source:
% 
% The dataset was created by Max Little of the University of Oxford, in 
% collaboration with the National Centre for Voice and Speech, Denver, 
% Colorado, who recorded the speech signals. The original study published the 
% feature extraction methods for general voice disorders.
% 
% -----------------------------------------------------
% 
% Data Set Information:
% 
% This dataset is composed of a range of biomedical voice measurements from 
% 31 people, 23 with Parkinson's disease (PD). Each column in the table is a 
% particular voice measure, and each row corresponds one of 195 voice 
% recording from these individuals ("name" column). The main aim of the data 
% is to discriminate healthy people from those with PD, according to "status" 
% column which is set to 0 for healthy and 1 for PD.
% 
% The data is in ASCII CSV format. The rows of the CSV file contain an 
% instance corresponding to one voice recording. There are around six 
% recordings per patient, the name of the patient is identified in the first 
% column.For further information or to pass on comments, please contact Max 
% Little (littlem '@' robots.ox.ac.uk).
% 
% Further details are contained in the following reference -- if you use this 
% dataset, please cite:
% Max A. Little, Patrick E. McSharry, Eric J. Hunter, Lorraine O. Ramig (2008), 
% 'Suitability of dysphonia measurements for telemonitoring of Parkinson's disease', 
% IEEE Transactions on Biomedical Engineering (to appear).
% 
% -----------------------------------------------------
% 
% Attribute Information:
% 
% Matrix column entries (attributes):
% name - ASCII subject name and recording number
% MDVP:Fo(Hz) - Average vocal fundamental frequency
% MDVP:Fhi(Hz) - Maximum vocal fundamental frequency
% MDVP:Flo(Hz) - Minimum vocal fundamental frequency
% MDVP:Jitter(%),MDVP:Jitter(Abs),MDVP:RAP,MDVP:PPQ,Jitter:DDP - Several 
% measures of variation in fundamental frequency
% MDVP:Shimmer,MDVP:Shimmer(dB),Shimmer:APQ3,Shimmer:APQ5,MDVP:APQ,Shimmer:DDA - Several measures of variation in % amplitude
% NHR,HNR - Two measures of ratio of noise to tonal components in the voice
% status - Health status of the subject (one) - Parkinson's, (zero) - healthy
% RPDE,D2 - Two nonlinear dynamical complexity measures
% DFA - Signal fractal scaling exponent
% spread1,spread2,PPE - Three nonlinear measures of fundamental frequency variation 
% 
% -----------------------------------------------------
% 
% Citation Request:
% 
% If you use this dataset, please cite the following paper: 
% 'Exploiting Nonlinear Recurrence and Fractal Scaling Properties for Voice Disorder Detection', 
% Little MA, McSharry PE, Roberts SJ, Costello DAE, Moroz IM. 
% BioMedical Engineering OnLine 2007, 6:23 (26 June 2007)

@RELATION parkinsons

@ATTRIBUTE A1 REAL
@ATTRIBUTE A2 REAL
@ATTRIBUTE A3 REAL
@ATTRIBUTE A4 REAL
@ATTRIBUTE A5 REAL
@ATTRIBUTE A6 REAL
@ATTRIBUTE A7 REAL
@ATTRIBUTE A8 REAL
@ATTRIBUTE A9 REAL
@ATTRIBUTE A10 REAL
@ATTRIBUTE A11 REAL
@ATTRIBUTE A12 REAL
@ATTRIBUTE A13 REAL
@ATTRIBUTE A14 REAL
@ATTRIBUTE A15 REAL
@ATTRIBUTE A16 REAL
@ATTRIBUTE A17 REAL
@ATTRIBUTE A18 REAL
@ATTRIBUTE A19 REAL
@ATTRIBUTE A20 REAL
@ATTRIBUTE A21 REAL
@ATTRIBUTE A22 REAL

@ATTRIBUTE class {0,1}

@DATA
11999200,15730200,7499700,0.00784,0.00007,0.00370,0.00554,0.01109,0.04374,0.42600,0.02182,0.03130,0.02971,0.06545,0.02211,2103300,0.414783,0.815285,-4813031,0.266482,2301442,0.284654,1
12240000,14865000,11381900,0.00968,0.00008,0.00465,0.00696,0.01394,0.06134,0.62600,0.03134,0.04518,0.04368,0.09403,0.01929,1908500,0.458359,0.819521,-4075192,0.335590,2486855,0.368674,1
11668200,13111100,11155500,0.01050,0.00009,0.00544,0.00781,0.01633,0.05233,0.48200,0.02757,0.03858,0.03590,0.08270,0.01309,2065100,0.429895,0.825288,-4443179,0.311173,2342259,0.332634,1
11667600,13787100,11136600,0.00997,0.00009,0.00502,0.00698,0.01505,0.05492,0.51700,0.02924,0.04005,0.03772,0.08771,0.01353,2064400,0.434969,0.819235,-4117501,0.334147,2405554,0.368975,1
11601400,14178100,11065500,0.01284,0.00011,0.00655,0.00908,0.01966,0.06425,0.58400,0.03490,0.04825,0.04465,0.10470,0.01767,1964900,0.417356,0.823484,-3747787,0.234513,2332180,0.410335,1
12055200,13116200,11378700,0.00968,0.00008,0.00463,0.00750,0.01388,0.04701,0.45600,0.02328,0.03526,0.03243,0.06985,0.01222,2137800,0.415564,0.825069,-4242867,0.299111,2187560,0.357775,1
12026700,13724400,11482000,0.00333,0.00003,0.00155,0.00202,0.00466,0.01608,0.14000,0.00779,0.00937,0.01351,0.02337,0.00607,2488600,0.596040,0.764112,-5634322,0.257682,1854785,0.211756,1
10733200,11384000,10431500,0.00290,0.00003,0.00144,0.00182,0.00431,0.01567,0.13400,0.00829,0.00946,0.01256,0.02487,0.00344,2689200,0.637420,0.763262,-6167603,0.183721,2064693,0.163755,1
9573000,13206800,9175400,0.00551,0.00006,0.00293,0.00332,0.00880,0.02093,0.19100,0.01073,0.01277,0.01717,0.03218,0.01070,2181200,0.615551,0.773587,-5498678,0.327769,2322511,0.231571,1
9505600,12010300,9122600,0.00532,0.00006,0.00268,0.00332,0.00803,0.02838,0.25500,0.01441,0.01725,0.02444,0.04324,0.01022,2186200,0.547037,0.798463,-5011879,0.325996,2432792,0.271362,1
8833300,11224000,8407200,0.00505,0.00006,0.00254,0.00330,0.00763,0.02143,0.19700,0.01079,0.01342,0.01892,0.03237,0.01166,2111800,0.611137,0.776156,-5249770,0.391002,2407313,0.249740,1
9190400,11587100,8629200,0.00540,0.00006,0.00281,0.00336,0.00844,0.02752,0.24900,0.01424,0.01641,0.02214,0.04272,0.01141,2141400,0.583390,0.792520,-4960234,0.363566,2642476,0.275931,1
13692600,15986600,13127600,0.00293,0.00002,0.00118,0.00153,0.00355,0.01259,0.11200,0.00656,0.00717,0.01140,0.01968,0.00581,2570300,0.460600,0.646846,-6547148,0.152813,2041277,0.138512,1
13917300,17913900,7655600,0.00390,0.00003,0.00165,0.00208,0.00496,0.01642,0.15400,0.00728,0.00932,0.01797,0.02184,0.01041,2488900,0.430166,0.665833,-5660217,0.254989,2519422,0.199889,1
15284500,16330500,7583600,0.00294,0.00002,0.00121,0.00149,0.00364,0.01828,0.15800,0.01064,0.00972,0.01246,0.03191,0.00609,2492200,0.474791,0.654027,-6105098,0.203653,2125618,0.170100,1
14216700,21745500,8315900,0.00369,0.00003,0.00157,0.00203,0.00471,0.01503,0.12600,0.00772,0.00888,0.01359,0.02316,0.00839,2517500,0.565924,0.658245,-5340115,0.210185,2205546,0.234589,1
