@relation 'classificacao_imagem-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.CfsSubsetEval -P 1 -E 1-Sweka.attributeSelection.BestFirst -D 1 -N 5'

@attribute vetor_caracteristica_0 numeric
@attribute vetor_caracteristica_4 numeric
@attribute vetor_caracteristica_20 numeric
@attribute vetor_caracteristica_21 numeric
@attribute vetor_caracteristica_25 numeric
@attribute vetor_caracteristica_36 numeric
@attribute vetor_caracteristica_41 numeric
@attribute vetor_caracteristica_42 numeric
@attribute vetor_caracteristica_46 numeric
@attribute vetor_caracteristica_58 numeric
@attribute vetor_caracteristica_59 numeric
@attribute vetor_caracteristica_62 numeric
@attribute vetor_caracteristica_63 numeric
@attribute vetor_caracteristica_68 numeric
@attribute vetor_caracteristica_84 numeric
@attribute vetor_caracteristica_85 numeric
@attribute vetor_caracteristica_105 numeric
@attribute vetor_caracteristica_106 numeric
@attribute vetor_caracteristica_127 numeric
@attribute histogram_acc0 numeric
@attribute histogram_acc16 numeric
@attribute histogram_acc40 numeric
@attribute histogram_acc43 numeric
@attribute histogram_acc47 numeric
@attribute histogram_acc57 numeric
@attribute histogram_acc63 numeric
@attribute classes {Acer-campestre,Acer-monspessulanum,Acer-negundo,Albizia-julibrissin,Alnus-cordata,Arbutus-unedo,Betula-pendula,Broussonetia-papyrifera,Buddleja-davidii,Buxus-sempervirens,Carpinus-betulus,Castanea-sativa,Celtis-australis,Cerasus-mahaleb,Corylus-avellana,Cotinus-coggygria,Crataegus-azarolus,Crataegus-monogyna,Daphne-cneorum,Diospyros-kaki,Euphorbia-characias,Ficus-carica,Fraxinus-angustifolia,Ginkgo-biloba,Hedera-helix,Ilex-aquifolium,Juniperus-oxycedrus,Laurus-nobilis,Nerium-oleander,Olea-europaea,Paliurus-spina-christi,Pistacia-lentiscus,Pistacia-terebinthus,Pittosporum-tenuifolium,Pittosporum-tobira,Platanus-x,Populus-alba,Populus-nigra,Populus-tremula,Prunus-laurocerasus,Punica-granatum,Quercus-coccifera,Quercus-ilex,Quercus-petraea,Quercus-pubescens,Rhamnus-alaternus,Rhus-coriaria,Robinia-pseudoacacia,Ruscus-aculeatus,Syringa-vulgaris,Ulmus-minor,Viburnum-tinus,Vitex-agnus-castus}

@data
11725,10347,2063,1114,422,88,673,1657,512,103,3,839,5194,6414,220,24,3,433,308032,110956,1723,0,20,41,0,313226,Acer-campestre
3514,10821,7580,746,133,203,945,555,103,111,0,504,4181,22966,3897,3,36,0,209695,5668,16,128,0,0,2,213876,Acer-campestre
4483,2600,1444,1078,252,0,372,1456,297,47,1,512,5034,150,447,1,0,100,333199,80588,1052,6,14,35,0,338233,Acer-campestre
11228,11698,3968,988,104,488,517,755,99,136,0,461,4575,8474,1242,10,0,0,215128,41765,18,2,0,0,4,219703,Acer-campestre
10452,9986,2250,1217,492,29,587,1680,671,76,2,766,4942,9784,272,31,3,552,303586,82776,1586,0,27,84,0,308528,Acer-campestre
26689,23161,1795,1082,444,6,307,1620,676,44,0,370,5874,13836,224,7,0,198,351216,115991,1291,0,17,104,0,357090,Acer-campestre
14141,12542,1028,834,304,1,243,1241,480,45,2,351,5150,11359,105,0,1,148,301839,86755,1394,0,11,49,0,306989,Acer-campestre
1106,15117,17443,1100,888,274,1540,773,337,334,2,1103,5022,19931,39384,106,151,3,279801,1818,0,358,0,0,254,284823,Acer-campestre
24856,34830,12166,1653,379,424,1782,1470,409,155,0,1283,5126,25400,5320,26,387,86,304128,47147,0,330,0,0,9,309254,Acer-campestre
15792,14507,1082,763,226,16,223,738,241,51,3,216,5075,11222,183,0,8,1,287583,64167,1513,10,14,23,1,292658,Acer-campestre
11367,17327,4815,1080,394,118,732,1310,254,101,2,605,5182,75686,1823,12,0,281,314914,18606,1149,0,13,20,0,320096,Acer-campestre
3189,6309,2711,775,250,148,504,740,223,40,0,353,4662,55350,1022,4,0,0,279830,5058,135,51,15,18,0,284492,Acer-campestre
10497,31291,20084,1966,379,0,1320,1051,397,12,0,907,4858,24578,14008,231,688,23,271531,16622,0,125,0,0,0,276389,Acer-campestre
12008,10186,920,822,206,0,191,1002,333,35,3,236,4906,6620,116,0,7,53,265998,78164,1268,8,17,35,0,270904,Acer-campestre
84,355,10239,1293,3426,51,2098,665,222,333,0,1095,5247,124,36134,457,199,5,384001,103,1,2152,0,0,4,389248,Acer-campestre
10709,12997,3212,1196,503,20,727,1817,624,82,8,867,5066,38152,525,48,4,502,318356,26600,1920,0,42,66,0,323422,Acer-campestre
1220,11566,12594,550,485,74,953,1023,490,71,6,918,5059,63108,14752,0,5,64,290709,1632,858,26,9,12,0,295768,Acer-campestre
14320,17451,4710,1249,633,86,769,1830,696,67,3,896,5656,51746,1677,3,3,185,342661,49212,917,1,17,80,0,348317,Acer-campestre
18523,16875,1463,963,342,50,261,1304,388,48,4,315,5393,12648,181,8,0,185,370368,81370,1303,9,6,44,0,375761,Acer-campestre
5072,18784,14284,1795,122,134,804,1015,126,107,1,486,4600,25471,10833,90,18,4,223768,6723,4,0,0,0,0,228368,Acer-campestre
13020,13569,1767,911,307,0,261,1244,443,28,1,313,4826,22538,1059,2,3,222,305768,57658,143,0,10,57,0,310594,Acer-campestre
22895,25571,4180,1222,620,8,663,1604,633,52,4,863,5663,50830,1819,55,2,304,339510,63467,1041,0,30,42,0,345173,Acer-campestre
656,31674,40215,3001,1196,134,2283,2422,853,116,0,1750,6171,21134,84698,217,898,137,372058,895,0,92,0,1,0,378229,Acer-campestre
12625,13985,1650,739,297,9,534,842,296,10,0,294,4739,20034,787,0,13,8,276536,33235,1,154,20,39,0,281275,Acer-campestre
16651,20638,3752,1497,720,3,937,2261,877,57,3,1456,5288,34851,718,220,27,1251,324121,58488,878,0,20,91,0,329409,Acer-campestre
5235,17359,10966,1034,293,511,1084,891,242,194,0,879,4628,36875,9948,10,16,4,238340,7898,24,49,0,0,1,242968,Acer-campestre
20131,20010,2968,1402,459,90,651,1889,523,117,5,635,5199,19167,274,29,5,398,371315,56359,2022,0,47,57,0,376514,Acer-campestre
14609,17713,2130,911,294,36,319,889,318,28,3,271,5099,65113,379,0,0,22,300485,35372,851,1,14,46,1,305584,Acer-campestre
9029,8245,1318,1238,420,62,494,1685,515,103,12,608,4827,6487,67,8,4,502,296857,69378,2017,0,28,72,0,301684,Acer-campestre
27473,36143,11316,1904,407,248,1595,1578,432,87,0,1406,5397,29529,5773,59,244,80,392546,60684,1,336,0,0,1,397943,Acer-campestre
9506,7476,1643,1066,231,114,353,1203,261,93,1,365,4665,2143,178,4,0,54,276798,73788,1273,0,12,22,0,281463,Acer-campestre
15756,12361,1607,944,360,49,332,1251,394,37,7,371,5348,6887,275,2,0,34,356775,87658,989,1,36,82,0,362123,Acer-campestre
11297,34836,26886,2414,368,25,1414,1493,311,29,0,903,5616,23302,31037,128,209,1,323912,18680,0,243,0,0,0,329528,Acer-campestre
33448,39972,13305,1992,169,282,557,1361,180,132,1,559,5428,23653,4980,36,2,30,341333,88208,51,0,1,2,0,346761,Acer-campestre
12671,21169,4359,1266,408,314,995,1242,255,183,6,534,4614,33492,1209,19,150,111,316822,18203,23,355,10,51,231,321436,Acer-monspessulanum
22179,21115,3844,1356,282,520,640,1905,308,171,20,542,5354,12344,1026,171,42,755,430098,77205,1196,73,46,57,16,435452,Acer-monspessulanum
14371,18896,3702,824,460,314,911,1336,638,65,0,729,4938,36312,1571,40,15,357,406063,38285,13,176,7,67,3,411001,Acer-monspessulanum
10459,14101,3993,1499,325,24,1665,1863,206,123,0,885,4595,22422,1503,121,451,271,316521,27314,10,798,56,148,39,321116,Acer-monspessulanum
11269,14400,2727,1061,398,551,1239,1203,338,79,0,450,4795,28397,851,82,103,45,361633,29721,4,182,11,58,11,366428,Acer-monspessulanum
7212,11569,2619,772,333,598,914,842,330,101,0,501,4618,41833,674,1,23,0,333459,12164,2,152,3,22,27,338077,Acer-monspessulanum
13225,15750,2776,895,324,370,1087,1187,410,51,1,600,4835,24066,837,5,42,128,403350,39427,0,332,3,56,28,408185,Acer-monspessulanum
4051,9319,3555,947,326,427,746,920,365,149,0,442,4703,56917,1200,8,46,16,386330,7243,0,108,1,2,9,391033,Acer-monspessulanum
7616,7821,2632,1194,242,26,855,1076,234,7,2,405,4480,4861,551,22,1,34,313150,43221,3,374,17,84,0,317630,Acer-monspessulanum
14272,16801,4788,1496,300,573,757,2048,396,140,4,768,5176,22656,2413,141,7,873,384777,51882,92,28,27,96,0,389953,Acer-monspessulanum
7487,10456,2504,681,311,361,1000,904,366,54,0,520,4475,32336,820,1,47,61,350594,16326,2,251,2,34,14,355069,Acer-monspessulanum
14524,15893,2829,1026,328,239,1159,1244,304,72,1,588,4747,17293,800,2,110,31,326453,44206,2,599,5,22,8,331200,Acer-monspessulanum
10914,14059,3888,894,301,11,1588,1592,215,114,2,1120,4559,12150,1763,11,584,911,323720,31648,0,514,14,40,44,328279,Acer-monspessulanum
8638,15990,4993,1120,456,755,505,1498,478,160,6,520,4907,50952,1866,117,2,261,381614,20973,108,47,23,64,14,386521,Acer-monspessulanum
16587,18579,2531,947,352,403,860,1167,462,57,1,641,5082,22478,990,14,12,82,446285,48836,99,182,5,74,25,451367,Acer-monspessulanum
11207,15297,2834,979,409,470,1995,2084,465,314,1,1403,4936,33680,897,201,301,822,379080,26086,0,662,74,143,91,384016,Acer-monspessulanum
7360,10954,2952,818,441,345,961,1168,530,40,0,725,4773,36794,1116,51,12,229,395070,17370,0,480,6,83,2,399843,Acer-monspessulanum
5572,17370,16349,2199,983,207,508,1391,99,180,107,313,4751,6952,10163,144,12,316,527007,7319,151,21,173,58,28,531758,Acer-monspessulanum
14195,18825,4133,1028,399,278,1233,1407,417,26,0,982,4858,25223,1571,8,105,158,374566,27264,0,481,12,24,603,379424,Acer-monspessulanum
7393,17041,5979,960,421,26,1452,1408,307,11,0,876,4722,46761,3079,17,1219,180,372195,10675,0,323,4,44,7,376917,Acer-monspessulanum
6487,13079,4661,1066,401,743,526,1264,375,196,10,419,4812,49299,1950,4,13,88,359264,11967,353,43,29,61,1,364076,Acer-monspessulanum
5561,10607,4342,713,189,101,1108,949,263,30,0,743,4423,24550,1490,2,15,119,276916,12087,13,348,9,12,9,281339,Acer-monspessulanum
6754,9501,2127,1023,284,796,783,1209,263,207,1,411,4584,29157,751,111,3,22,345580,14716,38,47,30,90,17,350164,Acer-monspessulanum
