@relation 'classificacao_imagem-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.CfsSubsetEval -P 1 -E 1-Sweka.attributeSelection.BestFirst -D 1 -N 5'

@attribute Median numeric
@attribute direction_0 numeric
@attribute direction_1 numeric
@attribute direction_2 numeric
@attribute direction_6 numeric
@attribute direction_7 numeric
@attribute fourier3 numeric
@attribute fourier6 numeric
@attribute QCCH0 numeric
@attribute QCCH2 numeric
@attribute QCCH3 numeric
@attribute QCCH4 numeric
@attribute QCCH5 numeric
@attribute QCCH8 numeric
@attribute QCCH11 numeric
@attribute QCCH14 numeric
@attribute QCCH18 numeric
@attribute QCCH26 numeric
@attribute QCCH33 numeric
@attribute QCCH35 numeric
@attribute QCCH36 numeric
@attribute QCCH37 numeric
@attribute QCCH38 numeric
@attribute QCCH39 numeric
@attribute HARALICKInformationMesuresofCorrelation1-0 numeric
@attribute HARALICKInformationMesuresofCorrelation2-0 numeric
@attribute HARALICKSumVariance45 numeric
@attribute HARALICKDifferenceVariance45 numeric
@attribute HARALICKDifferenceEntropy45 numeric
@attribute HARALICKSumAverage90 numeric
@attribute HARALICKAngular2ndMoment135 numeric
@attribute HARALICKSumVariance135 numeric
@attribute HARALICKDifferenceVariance135 numeric
@attribute vetor_caracteristica_4 numeric
@attribute vetor_caracteristica_5 numeric
@attribute vetor_caracteristica_20 numeric
@attribute vetor_caracteristica_21 numeric
@attribute vetor_caracteristica_25 numeric
@attribute vetor_caracteristica_36 numeric
@attribute vetor_caracteristica_37 numeric
@attribute vetor_caracteristica_40 numeric
@attribute vetor_caracteristica_41 numeric
@attribute vetor_caracteristica_42 numeric
@attribute vetor_caracteristica_46 numeric
@attribute vetor_caracteristica_47 numeric
@attribute vetor_caracteristica_58 numeric
@attribute vetor_caracteristica_59 numeric
@attribute vetor_caracteristica_62 numeric
@attribute vetor_caracteristica_63 numeric
@attribute vetor_caracteristica_80 numeric
@attribute vetor_caracteristica_84 numeric
@attribute vetor_caracteristica_85 numeric
@attribute vetor_caracteristica_104 numeric
@attribute vetor_caracteristica_105 numeric
@attribute vetor_caracteristica_106 numeric
@attribute vetor_caracteristica_126 numeric
@attribute vetor_caracteristica_127 numeric
@attribute histogram_acc0 numeric
@attribute histogram_acc4 numeric
@attribute histogram_acc16 numeric
@attribute histogram_acc21 numeric
@attribute histogram_acc24 numeric
@attribute histogram_acc36 numeric
@attribute histogram_acc43 numeric
@attribute histogram_acc63 numeric
@attribute classes {Acer-campestre,Acer-monspessulanum,Acer-negundo,Albizia-julibrissin,Alnus-cordata,Arbutus-unedo,Betula-pendula,Broussonetia-papyrifera,Buddleja-davidii,Buxus-sempervirens,Carpinus-betulus,Castanea-sativa,Celtis-australis,Cerasus-mahaleb,Corylus-avellana,Cotinus-coggygria,Crataegus-azarolus,Crataegus-monogyna,Daphne-cneorum,Diospyros-kaki,Euphorbia-characias,Ficus-carica,Fraxinus-angustifolia,Ginkgo-biloba,Hedera-helix,Ilex-aquifolium,Juniperus-oxycedrus,Laurus-nobilis,Nerium-oleander,Olea-europaea,Paliurus-spina-christi,Pistacia-lentiscus,Pistacia-terebinthus,Pittosporum-tenuifolium,Pittosporum-tobira,Platanus-x,Populus-alba,Populus-nigra,Populus-tremula,Prunus-laurocerasus,Punica-granatum,Quercus-coccifera,Quercus-ilex,Quercus-petraea,Quercus-pubescens,Rhamnus-alaternus,Rhus-coriaria,Robinia-pseudoacacia,Ruscus-aculeatus,Syringa-vulgaris,Ulmus-minor,Viburnum-tinus,Vitex-agnus-castus}

@data
0.339059,1954,330,7,5,326,0.329902,0.289511,226107,39905,33229,24925,17670,5809,2696,1505,1351,734,447,409,778,753,747,995,-0.57058,0.980685,109954,73.9033,1.67082,695.505,0.011813,429552,108.42,10347,0,2063,1114,422,88,245,0,673,1657,512,41,103,3,839,5194,864,220,24,0,3,433,5,308032,110956,16761,1723,1138,0,88,20,313226,Acer-campestre
0.302622,1385,301,15,3,317,0.102518,0.015335,138199,24873,21111,15119,10148,3274,1365,742,716,447,312,313,667,634,880,1886,-0.509138,0.887799,104543,104.173,1.05341,794.973,0.034781,506998,144.817,10821,0,7580,746,133,203,449,128,945,555,103,0,111,0,504,4181,0,3897,3,0,36,0,0,209695,5668,33787,16,749,47,203,0,213876,Acer-campestre
0.328257,1817,354,6,1,356,0.447718,0.060018,266071,25170,22921,18196,13901,5373,2621,1398,1097,672,401,361,724,794,635,1763,-0.535421,0.92193,112789,94.6776,1.16325,765.313,0.030268,491867,133.701,2600,3,1444,1078,252,0,82,6,372,1456,297,35,47,1,512,5034,392,447,1,0,0,100,0,333199,80588,2750,1052,1079,10,0,14,338233,Acer-campestre
0.339691,1638,391,10,3,397,0.162247,0.069441,132079,31716,24931,17200,11129,3715,1686,961,850,546,370,333,665,748,672,3053,-0.536804,0.925201,106729,129.099,1.18804,757.81,0.029966,476975,185.356,11698,0,3968,988,104,488,656,2,517,755,99,0,136,0,461,4575,0,1242,10,0,0,0,0,215128,41765,20172,18,998,0,554,0,219703,Acer-campestre
0.340543,1981,252,12,2,264,0.19614,0.116748,186680,43954,31625,23041,15821,5274,2450,1345,1106,719,374,397,1012,862,696,711,-0.593324,0.987288,108288,72.4684,1.61504,725.536,0.006264,451676,103.947,9986,8,2250,1217,492,29,135,0,587,1680,671,84,76,2,766,4942,715,272,31,0,3,552,3,303586,82776,19770,1586,1248,3,29,27,308528,Acer-campestre
0.322605,2438,545,34,8,589,0.472057,0.278847,309001,29455,29231,25496,19782,8000,3676,1984,1531,876,413,353,662,670,605,2854,-0.527885,0.967667,109355,131.752,1.72644,694.927,0.015754,428249,189.245,23161,6,1795,1082,444,6,84,0,307,1620,676,104,44,0,370,5874,609,224,7,0,0,198,0,351216,115991,36997,1291,1089,3,6,17,357090,Acer-campestre
0.283042,1951,468,17,6,482,0.25934,0.127761,223978,37273,30468,21209,14705,5208,2504,1501,1098,686,370,341,645,701,571,2967,-0.590823,0.979273,109519,129.42,1.46552,719.913,0.013384,448730,185.533,12542,10,1028,834,304,1,71,0,243,1241,480,49,45,2,351,5150,639,105,0,0,1,148,2,301839,86755,23901,1394,834,1,1,11,306989,Acer-campestre
0.286979,1379,655,11,3,663,0.364267,0.079915,196963,29142,28731,23303,17421,6684,3052,1622,1442,892,602,464,761,711,545,665,-0.539816,0.943201,100555,67.3266,1.34878,766.825,0.028117,476215,96.8724,15117,0,17443,1100,888,274,586,310,1540,773,337,0,334,2,1103,5022,0,39384,106,48,151,3,9,279801,1818,35048,0,1206,616,286,0,284823,Acer-campestre
0.323578,2257,449,10,4,453,0.284669,0.070524,234891,24065,27095,25970,22307,10405,4351,2174,1638,911,560,490,887,774,588,290,-0.48616,0.939233,104584,59.5034,1.64493,722.514,0.024641,444017,89.63,34830,0,12166,1653,379,424,425,299,1782,1470,409,0,155,0,1283,5126,0,5320,26,31,387,86,26,304128,47147,60230,0,1679,108,519,0,309254,Acer-campestre
0.239055,2024,264,16,2,284,0.293,0.093706,209219,31289,28077,20932,14751,5019,2393,1406,1090,728,361,321,611,632,703,3711,-0.495146,0.909079,109843,163.224,1.26248,747.953,0.030114,472758,227.049,14507,9,1082,763,226,16,95,10,223,738,241,23,51,3,216,5075,681,183,0,0,8,1,0,287583,64167,25729,1513,763,7,16,14,292658,Acer-campestre
