@relation 'classificacao_imagem-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.CfsSubsetEval -P 1 -E 1-Sweka.attributeSelection.BestFirst -D 1 -N 5'

@attribute CoefficientVariation numeric
@attribute Median numeric
@attribute MedianDeviation numeric
@attribute direction_0 numeric
@attribute direction_7 numeric
@attribute fourier2 numeric
@attribute fourier5 numeric
@attribute fourier13 numeric
@attribute fourier21 numeric
@attribute fourier28 numeric
@attribute QCCH0 numeric
@attribute QCCH2 numeric
@attribute QCCH3 numeric
@attribute QCCH4 numeric
@attribute QCCH8 numeric
@attribute QCCH10 numeric
@attribute QCCH14 numeric
@attribute QCCH18 numeric
@attribute QCCH26 numeric
@attribute QCCH32 numeric
@attribute QCCH33 numeric
@attribute QCCH35 numeric
@attribute QCCH36 numeric
@attribute QCCH37 numeric
@attribute QCCH38 numeric
@attribute QCCH39 numeric
@attribute HARALICKSumAverage0 numeric
@attribute HARALICKInformationMesuresofCorrelation1-0 numeric
@attribute HARALICKInformationMesuresofCorrelation2-0 numeric
@attribute HARALICKSumVariance45 numeric
@attribute HARALICKDifferenceEntropy90 numeric
@attribute HARALICKAngular2ndMoment135 numeric
@attribute HARALICKContrast135 numeric
@attribute HARALICKSumVariance135 numeric
@attribute HARALICKDifferenceVariance135 numeric
@attribute vetor_caracteristica_4 numeric
@attribute vetor_caracteristica_5 numeric
@attribute vetor_caracteristica_20 numeric
@attribute vetor_caracteristica_21 numeric
@attribute vetor_caracteristica_25 numeric
@attribute vetor_caracteristica_36 numeric
@attribute vetor_caracteristica_37 numeric
@attribute vetor_caracteristica_40 numeric
@attribute vetor_caracteristica_41 numeric
@attribute vetor_caracteristica_42 numeric
@attribute vetor_caracteristica_45 numeric
@attribute vetor_caracteristica_47 numeric
@attribute vetor_caracteristica_59 numeric
@attribute vetor_caracteristica_62 numeric
@attribute vetor_caracteristica_63 numeric
@attribute vetor_caracteristica_68 numeric
@attribute vetor_caracteristica_80 numeric
@attribute vetor_caracteristica_84 numeric
@attribute vetor_caracteristica_85 numeric
@attribute vetor_caracteristica_104 numeric
@attribute vetor_caracteristica_105 numeric
@attribute vetor_caracteristica_106 numeric
@attribute vetor_caracteristica_126 numeric
@attribute vetor_caracteristica_127 numeric
@attribute histogram_acc0 numeric
@attribute histogram_acc16 numeric
@attribute histogram_acc21 numeric
@attribute histogram_acc43 numeric
@attribute histogram_acc46 numeric
@attribute histogram_acc58 numeric
@attribute histogram_acc63 numeric
@attribute classes {Acer-campestre,Acer-monspessulanum,Acer-negundo,Albizia-julibrissin,Alnus-cordata,Arbutus-unedo,Betula-pendula,Broussonetia-papyrifera,Buddleja-davidii,Buxus-sempervirens,Carpinus-betulus,Castanea-sativa,Celtis-australis,Cerasus-mahaleb,Corylus-avellana,Cotinus-coggygria,Crataegus-azarolus,Crataegus-monogyna,Daphne-cneorum,Diospyros-kaki,Euphorbia-characias,Ficus-carica,Fraxinus-angustifolia,Ginkgo-biloba,Hedera-helix,Ilex-aquifolium,Juniperus-oxycedrus,Laurus-nobilis,Nerium-oleander,Olea-europaea,Paliurus-spina-christi,Pistacia-lentiscus,Pistacia-terebinthus,Pittosporum-tenuifolium,Pittosporum-tobira,Platanus-x,Populus-alba,Populus-nigra,Populus-tremula,Prunus-laurocerasus,Punica-granatum,Quercus-coccifera,Quercus-ilex,Quercus-petraea,Quercus-pubescens,Rhamnus-alaternus,Rhus-coriaria,Robinia-pseudoacacia,Ruscus-aculeatus,Syringa-vulgaris,Ulmus-minor,Viburnum-tinus,Vitex-agnus-castus}

@data
0.55172,0.511785,0.245695,543,545,0.083015,0.041981,0.006652,0.000711,0.000824,226107,39905,33229,24925,5809,3366,1505,1351,734,443,447,409,778,753,747,995,379.41,-0.57058,0.980685,109954,1.66069,0.011813,107.027,429552,108.42,10347,0,2063,1114,422,88,245,0,673,1657,1,41,3,839,5194,6414,864,220,24,0,3,433,5,308032,110956,1723,1138,20,515,103,313226,Acer-campestre
0.816984,0.393924,0.28253,819,357,0.027487,0.033146,0.000654,0.00045,0.00207,138199,24873,21111,15119,3274,1824,742,716,447,277,312,313,667,634,880,1886,433.574,-0.509138,0.887799,104543,0.869693,0.034781,143.795,506998,144.817,10821,0,7580,746,133,203,449,128,945,555,5,0,0,504,4181,22966,0,3897,3,0,36,0,0,209695,5668,16,749,0,103,111,213876,Acer-campestre
0.610636,0.522993,0.288942,397,575,0.003838,0.021544,0.000066,0.001141,0.000306,266071,25170,22921,18196,5373,3347,1398,1097,672,440,401,361,724,794,635,1763,417.473,-0.535421,0.92193,112789,1.03978,0.030268,132.605,491867,133.701,2600,3,1444,1078,252,0,82,6,372,1456,0,35,1,512,5034,150,392,447,1,0,0,100,0,333199,80588,1052,1079,14,297,47,338233,Acer-campestre
0.734577,0.428313,0.282032,769,456,0.003452,0.021961,0.005154,0.002022,0.000041,132079,31716,24931,17200,3715,2134,961,850,546,351,370,333,665,748,672,3053,413.322,-0.536804,0.925201,106729,1.07588,0.029966,184.038,476975,185.356,11698,0,3968,988,104,488,656,2,517,755,0,0,0,461,4575,8474,0,1242,10,0,0,0,0,215128,41765,18,998,0,99,136,219703,Acer-campestre
0.555129,0.546939,0.270804,615,489,0.069186,0.033987,0.000625,0.001597,0.000973,186680,43954,31625,23041,5274,3081,1345,1106,719,363,374,397,1012,862,696,711,395.777,-0.593324,0.987288,108288,1.59095,0.006264,102.739,451676,103.947,9986,8,2250,1217,492,29,135,0,587,1680,0,84,2,766,4942,9784,715,272,31,0,3,552,3,303586,82776,1586,1248,27,675,76,308528,Acer-campestre
0.42011,0.556052,0.187727,915,356,0.093172,0.039564,0.004887,0.000994,0.000172,309001,29455,29231,25496,8000,4636,1984,1531,876,420,413,353,662,670,605,2854,379.111,-0.527885,0.967667,109355,1.70896,0.015754,187.177,428249,189.245,23161,6,1795,1082,444,6,84,0,307,1620,0,104,0,370,5874,13836,609,224,7,0,0,198,0,351216,115991,1291,1089,17,676,44,357090,Acer-campestre
0.468367,0.554109,0.22619,665,413,0.002282,0.034283,0.007267,0.000292,0.00008,223978,37273,30468,21209,5208,3130,1501,1098,686,357,370,341,645,701,571,2967,392.713,-0.590823,0.979273,109519,1.38938,0.013384,184.082,448730,185.533,12542,10,1028,834,304,1,71,0,243,1241,0,49,2,351,5150,11359,639,105,0,0,1,148,2,301839,86755,1394,834,11,482,45,306989,Acer-campestre
0.675052,0.445341,0.269636,682,467,0.144745,0.016216,0.001899,0.000356,0.000343,196963,29142,28731,23303,6684,3817,1622,1442,892,559,602,464,761,711,545,665,418.284,-0.539816,0.943201,100555,1.27051,0.028117,95.7753,476215,96.8724,15117,0,17443,1100,888,274,586,310,1540,773,5,0,2,1103,5022,19931,0,39384,106,48,151,3,9,279801,1818,0,1206,0,337,334,284823,Acer-campestre
0.504927,0.595702,0.260433,905,302,0.049863,0.03627,0.002777,0.001431,0.000578,234891,24065,27095,25970,10405,5707,2174,1638,911,534,560,490,887,774,588,290,394.137,-0.48616,0.939233,104584,1.59514,0.024641,88.1364,444017,89.63,34830,0,12166,1653,379,424,425,299,1782,1470,17,0,0,1283,5126,25400,0,5320,26,31,387,86,26,304128,47147,0,1679,0,409,155,309254,Acer-campestre
0.603199,0.518247,0.28416,544,534,0.001567,0.025882,0.003687,0.001443,0.00024,209219,31289,28077,20932,5019,3001,1406,1090,728,323,361,321,611,632,703,3711,407.992,-0.495146,0.909079,109843,1.13662,0.030114,225.537,472758,227.049,14507,9,1082,763,226,16,95,10,223,738,0,23,3,216,5075,11222,681,183,0,0,8,1,0,287583,64167,1513,763,14,241,51,292658,Acer-campestre
