@relation ecoli-weka.filters.unsupervised.attribute.Remove-R1
@attribute 0 numeric
@attribute 1 numeric
@attribute 2 numeric
@attribute 3 numeric
@attribute 4 numeric
@attribute 5 numeric
@attribute 6 numeric
@attribute class {1,2,3,4,5,6,7,8}
@DATA
0.3,0.37,0.48,0.5,0.59,0.41,0.49,1
0.52,0.57,0.48,0.5,0.42,0.47,0.54,1
0.43,0.39,0.48,0.5,0.47,0.31,0.41,1
0.39,0.31,0.48,0.5,0.38,0.34,0.43,1
0.57,0.54,0.48,0.5,0.37,0.28,0.33,1
0.51,0.49,0.48,0.5,0.53,0.14,0.26,1
0.53,0.38,0.48,0.5,0.44,0.26,0.36,1
0.25,0.26,0.48,0.5,0.39,0.32,0.42,1
0.34,0.51,0.48,0.5,0.44,0.37,0.46,1
0.51,0.46,0.48,0.5,0.58,0.31,0.41,1
0.04,0.31,0.48,0.5,0.41,0.29,0.39,1
0.16,0.43,0.48,0.5,0.54,0.27,0.37,1
0.4,0.41,0.48,0.5,0.55,0.22,0.33,1
0.22,0.43,0.48,0.5,0.48,0.16,0.28,1
0.31,0.47,0.48,0.5,0.29,0.28,0.39,1
0.29,0.47,0.48,0.5,0.41,0.23,0.34,1
0.65,0.55,0.48,0.5,0.34,0.37,0.28,1
0.32,0.42,0.48,0.5,0.35,0.28,0.38,1
0.29,0.41,0.48,0.5,0.48,0.38,0.46,1
0.54,0.47,0.48,0.5,0.28,0.33,0.42,1
0.37,0.44,0.48,0.5,0.42,0.39,0.47,1
0.37,0.52,0.48,0.5,0.42,0.42,0.36,1
0.4,0.46,0.48,0.5,0.52,0.49,0.56,1
0.35,0.48,0.48,0.5,0.56,0.4,0.48,1
0.38,0.26,0.48,0.5,0.54,0.16,0.28,1
0.24,0.43,0.48,0.5,0.54,0.52,0.59,1
0.44,0.27,0.48,0.5,0.55,0.52,0.58,1
0.59,0.49,0.48,0.5,0.52,0.45,0.36,1
0.22,0.36,0.48,0.5,0.35,0.39,0.47,1
0.1,0.49,0.48,0.5,0.41,0.67,0.21,2
0.84,0.44,0.48,0.5,0.48,0.71,0.74,2
0.58,0.34,0.48,0.5,0.56,0.87,0.81,2
0.46,0.59,0.48,0.5,0.36,0.76,0.23,2
0.27,0.35,0.48,0.5,0.51,0.77,0.79,2
0.68,0.51,0.48,0.5,0.71,0.75,0.78,2
0.35,0.51,0.48,0.5,0.61,0.71,0.74,2
0.49,0.42,0.48,0.5,0.53,0.79,0.81,2
0.23,0.48,0.48,0.5,0.59,0.88,0.89,2
0.06,0.61,0.48,0.5,0.49,0.92,0.37,2
0.63,0.75,0.48,0.5,0.64,0.73,0.66,2
0.54,0.49,0.48,0.5,0.4,0.87,0.88,2
0.6,0.61,0.48,0.5,0.54,0.67,0.71,2
0.63,0.54,0.48,0.5,0.65,0.79,0.81,2
0.74,0.44,0.48,0.5,0.55,0.88,0.89,2
0.7,0.64,0.48,0.5,0.47,0.51,0.47,3
0.74,0.82,0.48,0.5,0.49,0.49,0.41,3
0.68,0.67,0.48,0.5,0.49,0.4,0.34,3
0.68,0.82,0.48,0.5,0.38,0.65,0.56,3
0.71,0.71,0.48,0.5,0.4,0.54,0.39,3
0.74,0.49,0.48,0.5,0.42,0.54,0.36,3
0.64,0.84,0.48,0.5,0.37,0.45,0.4,3
0.57,0.59,0.48,0.5,0.39,0.47,0.33,3
0.69,0.66,0.48,0.5,0.41,0.5,0.25,3
0.32,0.39,0.48,0.5,0.53,0.28,0.38,3
0.67,0.37,0.48,0.5,0.54,0.64,0.68,4
0.78,0.33,0.48,0.5,0.57,0.77,0.79,4
0.81,0.52,0.48,0.5,0.57,0.78,0.8,4
0.47,0.46,0.48,0.5,0.62,0.74,0.77,4
0.59,0.29,0.48,0.5,0.64,0.75,0.77,4
0.49,0.61,1,0.5,0.56,0.71,0.74,4
0.58,0.6,0.48,0.5,0.59,0.73,0.76,4
0.68,0.76,0.48,0.5,0.84,0.45,0.27,5
0.6,0.76,1,0.5,0.77,0.59,0.52,5
0.63,0.49,0.48,0.5,0.79,0.45,0.28,5
0.74,0.9,0.48,0.5,0.57,0.53,0.29,5
0.66,0.49,1,0.5,0.54,0.56,0.36,6
